Title,Author
The Peripheral, William Gibson,
The First Collection of Criticism by a Living Female Rock Critic, Jessica Hopper, 
Station Eleven, Emily St. John Mandel, 
The Faraway Nearby, Rebecca Solnit, 
The First Bad Man, Miranda July, 
The Left Hand of Darkness, Ursula K. Le Guin, 
Handmaid's Tale, Margaret Atwood, 
Grant & I: Inside and Outside the Go-Betweens, Robert Forster, 
Lean UX: Designing Great Products with Agile Teams, Jeff Gothelf, 
Until Proven Guilty (J.P. Beaumont, #1), J.A. Jance, 
The Five Dysfunctions of a Team: A Leadership Fable, Patrick Lencioni, 
Parable of the Sower (Earthseed, #1), Octavia E. Butler, 
The Sellout, Paul Beatty, 
What is Contemporary Art?, Julieta Aranda, 
