Title,Author
The Lost Girls of Camp Forevermore,Kim Fu
Brutally Honest,Emily Ruth Cohen
Bird by Bird,Anne Lamott
White Noise,Don DeLillo
And Then There Were None,Agatha Christie
Priestdaddy,Patricia Lockwood
Injustice for All,J.A. Jance
We Should All Be Feminists,Chimamanda Ngozi Adichie
My Sister the Serial Killer,Oyinkan Braithwaite
The Friend,Sigrid Nunez
Her Body and Other Parties,Carmen Maria Machado
Future Home of the Living God,Louise Erdrich
City of Illusions,Ursula K. Le Guin
By Blood,Ellen Ullman
Things Fall Apart,Chinua Achebe
